,ticker,name,sector
292,LLY,Lilly (Eli) & Co.,Health Care
293,LNC,Lincoln National,Financials
294,LIN,Linde plc,Materials
295,LKQ,LKQ Corporation,Consumer Discretionary
296,LMT,Lockheed Martin Corp.,Industrials
297,L,Loews Corp.,Financials
298,LOW,Lowe's Cos.,Consumer Discretionary
299,LYB,LyondellBasell,Materials
300,MTB,M&T Bank Corp.,Financials
301,MAC,Macerich,Real Estate
302,M,Macy's Inc.,Consumer Discretionary
303,MRO,Marathon Oil Corp.,Energy
304,MPC,Marathon Petroleum,Energy
305,MAR,Marriott Int'l.,Consumer Discretionary
306,MMC,Marsh & McLennan,Financials
307,MLM,Martin Marietta Materials,Materials
308,MAS,Masco Corp.,Industrials
309,MA,Mastercard Inc.,Information Technology
310,MAT,Mattel Inc.,Consumer Discretionary
311,MKC,McCormick & Co.,Consumer Staples
312,MXIM,Maxim Integrated Products Inc,Information Technology
313,MCD,McDonald's Corp.,Consumer Discretionary
314,MCK,McKesson Corp.,Health Care
315,MDT,Medtronic plc,Health Care
316,MRK,Merck & Co.,Health Care
317,MET,MetLife Inc.,Financials
318,MTD,Mettler Toledo,Health Care
319,MGM,MGM Resorts International,Consumer Discretionary
320,MCHP,Microchip Technology,Information Technology
321,MU,Micron Technology,Information Technology
322,MSFT,Microsoft Corp.,Information Technology
323,MAA,Mid-America Apartments,Real Estate
324,MHK,Mohawk Industries,Consumer Discretionary
325,TAP,Molson Coors Brewing Company,Consumer Staples
326,MDLZ,Mondelez International,Consumer Staples
327,MNST,Monster Beverage,Consumer Staples
328,MCO,Moody's Corp,Financials
329,MS,Morgan Stanley,Financials
330,MOS,The Mosaic Company,Materials
331,MSI,Motorola Solutions Inc.,Information Technology
332,MSCI,MSCI Inc,Financials
333,MYL,Mylan N.V.,Health Care
334,NDAQ,"Nasdaq, Inc.",Financials
335,NOV,National Oilwell Varco Inc.,Energy
336,NKTR,Nektar Therapeutics,Health Care
337,NTAP,NetApp,Information Technology
338,NFLX,Netflix Inc.,Communication Services
339,NWL,Newell Brands,Consumer Discretionary
340,NEM,Newmont Mining Corporation,Materials
341,NWSA,News Corp. Class A,Communication Services
342,NWS,News Corp. Class B,Communication Services
343,NEE,NextEra Energy,Utilities
344,NLSN,Nielsen Holdings,Industrials
345,NKE,Nike,Consumer Discretionary
346,NI,NiSource Inc.,Utilities
347,NBL,Noble Energy Inc,Energy
348,JWN,Nordstrom,Consumer Discretionary
349,NSC,Norfolk Southern Corp.,Industrials
350,NTRS,Northern Trust Corp.,Financials
351,NOC,Northrop Grumman Corp.,Industrials
352,NCLH,Norwegian Cruise Line,Consumer Discretionary
353,NRG,NRG Energy,Utilities
354,NUE,Nucor Corp.,Materials
355,NVDA,Nvidia Corporation,Information Technology
356,ORLY,O'Reilly Automotive,Consumer Discretionary
357,OXY,Occidental Petroleum,Energy
